cell_id,inspected_at,line,shift,open_voltage_V,capacity_mAh,internal_resistance_mOhm,thickness_mm,weight_g,charge_time_min,chamber_temp_C,chamber_humidity_pct,inspector,result
CELL-00779,2026-04-03 02:25,A라인,주간,3.621,4981.4,24.2,11.377,69.5,68.9,25.5,32.8,박정민,합격
CELL-00780,2026-04-03 02:42,A라인,주간,3.635,5144.2,18.65,11.212,69.88,76.4,25.5,36.4,박정민,합격
CELL-00781,2026-04-03 02:48,A라인,주간,3.701,4819.5,11.19,10.742,71.64,68.5,22.0,50.6,박정민,합격
CELL-00782,2026-04-03 03:00,A라인,주간,3.662,5023.4,20.78,11.052,71.54,65.1,25.3,32.4,이하영,합격
CELL-00783,2026-04-03 04:13,A라인,주간,3.673,4926.6,23.29,11.215,70.5,67.0,27.0,43.7,박정민,합격
CELL-00784,2026-04-03 04:27,C라인,주간,3.649,4991.3,22.95,10.7,68.53,70.8,25.7,38.7,박정민,합격
CELL-00785,2026-04-03 04:31,B라인,야간,3.743,4709.4,18.58,11.249,67.88,75.6,22.7,30.2,한서린,합격
CELL-00786,2026-04-03 06:19,C라인,야간,3.701,5134.3,19.46,11.005,69.45,63.7,22.6,36.6,이하영,합격
CELL-00787,2026-04-03 06:34,B라인,야간,3.668,4576.0,22.07,10.621,69.66,78.1,24.7,43.6,이하영,합격
CELL-00788,2026-04-03 07:35,C라인,주간,3.7,4998.2,21.6,11.086,68.41,65.1,24.2,45.9,한서린,합격
CELL-00789,2026-04-03 07:42,A라인,주간,3.728,5043.5,18.45,11.276,68.35,76.1,25.6,46.0,김수현,합격
CELL-00790,2026-04-03 08:12,A라인,야간,3.648,5230.8,18.66,10.696,69.49,77.9,20.3,45.6,이하영,합격
CELL-00791,2026-04-03 09:10,C라인,야간,3.678,4934.8,23.6,11.371,70.49,78.2,23.0,48.7,김수현,합격
CELL-00792,2026-04-03 10:13,C라인,야간,3.761,4937.2,28.38,11.208,72.76,73.7,21.6,38.6,박정민,합격
CELL-00793,2026-04-03 12:13,B라인,주간,3.697,4848.9,19.26,11.146,70.6,59.0,24.7,51.2,김수현,합격
CELL-00794,2026-04-03 14:33,A라인,주간,3.674,5035.6,25.71,11.19,69.92,73.6,26.7,54.0,김수현,합격
CELL-00795,2026-04-03 15:10,A라인,주간,3.644,5087.1,19.72,10.961,68.19,65.2,24.8,61.3,정우석,합격
CELL-00796,2026-04-03 15:22,A라인,야간,3.677,4900.0,15.59,10.545,72.1,77.2,25.7,44.8,김수현,합격
CELL-00797,2026-04-03 16:00,B라인,주간,3.682,4910.5,24.84,10.982,69.89,58.1,23.8,37.8,정우석,합격
CELL-00798,2026-04-03 16:01,A라인,야간,3.631,4868.1,18.43,11.175,70.01,76.5,20.4,47.6,박정민,합격
CELL-00799,2026-04-03 16:13,C라인,야간,3.692,5029.1,23.94,10.93,68.54,71.4,21.5,40.9,정우석,합격
CELL-00800,2026-04-03 18:08,C라인,야간,3.722,4872.1,25.05,11.166,70.02,70.3,26.8,49.7,한서린,합격
CELL-00801,2026-04-03 21:09,A라인,주간,3.651,4841.1,17.45,11.194,71.96,65.3,25.9,48.4,정우석,합격
CELL-00802,2026-04-03 22:56,A라인,야간,3.73,4989.1,15.98,10.835,69.5,78.3,24.9,42.6,박정민,합격
CELL-00803,2026-04-03 23:16,A라인,주간,3.715,4796.3,17.15,11.211,72.32,65.3,25.6,41.7,김수현,합격
CELL-00804,2026-04-04 04:02,B라인,주간,3.712,4918.3,21.32,10.629,71.11,70.2,20.3,53.7,김수현,합격
CELL-00805,2026-04-04 04:33,B라인,주간,3.66,4912.9,23.59,10.881,69.07,67.0,24.2,55.9,이하영,합격
CELL-00806,2026-04-04 05:00,B라인,야간,3.757,4848.3,26.6,10.833,69.46,68.6,23.2,42.9,이하영,합격
CELL-00807,2026-04-04 05:28,C라인,주간,3.626,5028.7,28.73,10.951,71.77,75.1,23.8,58.9,한서린,합격
CELL-00808,2026-04-04 05:29,C라인,야간,3.703,4908.8,19.99,10.802,70.05,65.1,20.3,40.5,정우석,합격
CELL-00809,2026-04-04 08:38,C라인,야간,3.692,4769.6,17.93,11.11,67.92,65.1,23.1,42.4,이하영,합격
CELL-00810,2026-04-04 10:11,B라인,야간,3.663,4960.8,22.1,11.004,70.79,77.7,23.3,46.4,김수현,합격
CELL-00811,2026-04-04 10:53,B라인,주간,3.66,4817.8,24.95,11.143,68.1,66.8,20.8,,이하영,합격
CELL-00812,2026-04-04 13:47,B라인,주간,3.714,5187.5,18.52,10.654,69.23,77.3,22.9,21.6,정우석,합격
CELL-00813,2026-04-04 16:25,C라인,야간,3.702,4896.6,25.92,10.94,69.4,73.3,24.2,46.3,정우석,합격
CELL-00814,2026-04-04 16:43,A라인,야간,3.706,4958.0,25.0,11.376,69.75,68.6,22.3,27.2,한서린,합격
CELL-00815,2026-04-04 17:35,B라인,야간,3.632,4814.2,26.81,10.881,68.8,61.3,25.1,36.2,박정민,합격
CELL-00816,2026-04-04 17:44,A라인,주간,3.739,4926.5,18.96,10.754,70.27,69.8,28.6,39.1,이하영,합격
CELL-00817,2026-04-04 19:29,A라인,주간,3.663,5003.9,18.99,11.171,69.88,65.0,18.3,47.2,이하영,합격
CELL-00818,2026-04-04 20:30,B라인,주간,3.681,4965.8,26.33,10.719,69.68,75.4,26.2,50.5,정우석,합격
CELL-00819,2026-04-04 21:34,A라인,주간,3.639,4918.2,16.49,11.1,69.93,79.9,27.2,39.4,이하영,합격
CELL-00820,2026-04-04 22:37,B라인,야간,3.68,4733.9,21.05,10.931,70.41,68.2,20.5,51.5,이하영,합격
CELL-00821,2026-04-04 23:07,B라인,주간,3.666,4889.1,16.42,11.244,70.54,72.3,26.1,40.0,정우석,합격
CELL-00822,2026-04-04 23:25,C라인,주간,3.619,5005.1,23.77,10.969,70.47,64.8,22.6,26.8,박정민,합격
CELL-00823,2026-04-05 01:41,A라인,야간,3.717,5047.1,27.39,10.972,69.97,58.6,25.7,52.3,김수현,합격
CELL-00824,2026-04-05 01:45,B라인,야간,3.74,4846.9,23.38,11.184,69.84,68.5,27.5,55.9,정우석,합격
CELL-00825,2026-04-05 01:52,C라인,야간,3.678,5018.3,18.43,11.097,71.32,82.3,23.8,45.4,한서린,합격
CELL-00826,2026-04-05 04:05,B라인,야간,3.68,4939.6,20.93,11.046,70.53,57.0,24.9,59.1,김수현,합격
CELL-00827,2026-04-05 04:29,B라인,주간,3.639,5073.7,28.25,10.908,69.88,68.7,20.5,42.2,한서린,합격
CELL-00828,2026-04-05 06:01,A라인,주간,3.697,4987.4,18.71,10.63,69.32,68.9,20.0,49.1,박정민,합격
CELL-00829,2026-04-05 06:04,C라인,주간,3.638,4871.0,24.43,11.24,70.58,66.4,25.4,40.8,한서린,합격
CELL-00830,2026-04-05 09:49,A라인,야간,3.695,4885.1,22.31,10.809,72.15,68.3,19.5,41.9,정우석,합격
CELL-00831,2026-04-05 10:07,C라인,주간,3.598,4881.3,23.39,11.28,69.59,70.7,27.0,33.3,김수현,합격
CELL-00832,2026-04-05 10:16,B라인,주간,3.639,4732.3,21.08,10.839,68.86,82.4,24.0,38.9,박정민,합격
CELL-00833,2026-04-05 10:43,C라인,야간,3.647,4943.6,27.53,11.262,69.73,77.4,25.7,25.5,한서린,합격
CELL-00834,2026-04-05 11:18,B라인,주간,3.685,4667.9,24.36,11.099,69.34,69.8,24.6,41.8,김수현,합격
CELL-00835,2026-04-05 13:04,B라인,야간,3.718,4980.8,21.79,11.112,70.82,70.3,20.2,,김수현,합격
CELL-00836,2026-04-05 13:39,A라인,주간,3.636,5053.3,28.52,11.052,71.14,78.7,28.2,41.1,박정민,합격
CELL-00837,2026-04-05 13:58,B라인,주간,3.618,4764.7,18.33,11.203,69.73,70.0,25.6,41.7,한서린,합격
CELL-00838,2026-04-05 15:00,A라인,야간,3.623,4950.7,22.88,11.073,72.06,75.5,23.5,42.4,박정민,합격
CELL-00839,2026-04-05 15:11,C라인,주간,3.687,4587.8,25.38,10.792,70.46,70.6,22.4,55.6,한서린,합격
CELL-00840,2026-04-05 15:58,A라인,야간,3.7,4917.2,15.52,11.221,70.59,55.8,23.0,51.1,김수현,합격
CELL-00841,2026-04-05 16:06,A라인,주간,3.676,4995.4,22.86,11.172,69.63,81.4,21.1,36.8,김수현,합격
CELL-00842,2026-04-05 16:14,C라인,주간,3.639,4835.0,24.0,10.876,69.82,69.5,29.0,35.4,정우석,합격
CELL-00843,2026-04-05 16:34,C라인,야간,3.703,4814.9,26.22,11.064,70.6,73.2,27.4,48.3,한서린,합격
CELL-00844,2026-04-05 18:01,B라인,야간,3.666,4924.3,20.89,11.011,70.05,71.4,23.0,42.7,박정민,합격
CELL-00845,2026-04-05 19:25,C라인,야간,3.665,5028.2,22.93,11.116,69.61,71.2,22.4,43.4,한서린,합격
CELL-00846,2026-04-05 19:32,B라인,주간,3.689,4858.9,18.85,11.117,70.1,70.2,23.1,51.2,김수현,합격
CELL-00847,2026-04-05 21:29,B라인,주간,3.634,4658.0,18.83,10.813,70.15,70.8,21.9,32.6,한서린,합격
CELL-00848,2026-04-05 23:13,B라인,주간,3.711,5059.5,22.59,10.641,69.12,70.8,25.1,49.7,한서린,합격
CELL-00849,2026-04-06 00:04,B라인,주간,3.718,4869.1,23.32,10.871,70.07,60.5,20.3,35.5,박정민,합격
CELL-00850,2026-04-06 00:05,C라인,야간,3.676,4677.9,25.7,11.175,68.6,73.6,22.2,47.8,박정민,합격
CELL-00851,2026-04-06 00:48,B라인,야간,3.654,4695.6,22.02,11.345,69.12,69.1,19.9,38.8,한서린,합격
CELL-00852,2026-04-06 00:48,A라인,야간,3.67,5000.6,17.66,11.3,69.29,61.0,23.0,38.6,이하영,합격
CELL-00853,2026-04-06 01:20,A라인,주간,3.769,4860.4,21.67,10.96,70.36,79.7,22.4,42.6,김수현,합격
CELL-00854,2026-04-06 01:42,A라인,야간,3.715,5024.2,21.83,10.972,71.64,67.5,20.7,50.7,박정민,합격
CELL-00855,2026-04-06 01:45,A라인,주간,3.677,4935.2,27.03,10.861,68.82,72.3,20.9,48.3,박정민,합격
CELL-00856,2026-04-06 01:50,C라인,야간,3.681,4772.3,28.58,11.014,69.29,81.2,22.7,51.1,박정민,불합격
CELL-00857,2026-04-06 03:07,C라인,야간,3.638,4861.0,23.87,11.256,70.11,,21.9,39.0,박정민,합격
CELL-00858,2026-04-06 03:19,B라인,야간,3.71,5140.3,20.57,10.73,69.09,73.5,26.0,37.0,김수현,합격
CELL-00859,2026-04-06 05:31,C라인,야간,3.69,4985.0,21.93,11.44,68.89,70.2,22.8,48.4,박정민,합격
CELL-00860,2026-04-06 06:37,B라인,주간,3.675,5107.9,22.59,10.985,69.42,66.2,23.2,48.7,박정민,합격
CELL-00861,2026-04-06 06:42,C라인,야간,3.808,4975.1,27.1,10.671,70.1,65.9,22.9,40.6,한서린,합격
CELL-00862,2026-04-06 06:58,A라인,야간,3.682,4852.1,21.19,10.958,69.96,65.6,24.0,42.2,이하영,합격
CELL-00863,2026-04-06 08:13,A라인,주간,3.673,4928.0,22.99,10.892,71.15,76.1,28.5,38.6,한서린,합격
CELL-00864,2026-04-06 11:18,B라인,주간,3.675,4928.4,26.91,10.916,69.89,,22.4,50.9,박정민,합격
CELL-00865,2026-04-06 12:08,A라인,주간,3.698,5038.8,22.94,11.16,70.51,68.7,29.2,32.8,한서린,합격
CELL-00866,2026-04-06 13:34,B라인,야간,3.672,4751.1,21.9,11.108,69.51,64.2,22.0,36.4,박정민,합격
CELL-00867,2026-04-06 14:24,A라인,주간,3.7,5054.5,25.66,11.016,70.44,75.3,26.5,46.3,박정민,합격
CELL-00868,2026-04-06 14:29,B라인,주간,3.664,5064.9,20.47,10.81,70.24,81.4,21.9,41.3,이하영,합격
CELL-00869,2026-04-06 14:44,B라인,야간,3.678,4908.2,19.7,10.722,69.8,58.6,24.4,40.4,김수현,합격
CELL-00870,2026-04-06 17:33,B라인,주간,3.695,4895.3,21.95,11.096,69.09,58.1,26.1,41.0,이하영,합격
CELL-00871,2026-04-06 17:46,B라인,야간,3.711,4818.4,23.14,10.758,69.29,66.8,23.2,60.5,정우석,합격
CELL-00872,2026-04-06 18:55,B라인,야간,3.672,4958.6,16.29,11.004,69.89,67.1,19.4,51.3,박정민,합격
CELL-00873,2026-04-06 19:41,C라인,야간,3.695,5046.6,24.41,11.061,70.17,66.3,23.4,42.9,김수현,합격
CELL-00874,2026-04-06 19:47,A라인,주간,3.667,4980.8,20.91,10.777,69.57,70.0,24.3,45.8,박정민,합격
CELL-00875,2026-04-06 19:54,A라인,주간,3.689,4697.3,23.17,11.371,70.35,66.9,25.3,61.2,박정민,합격
CELL-00876,2026-04-06 20:17,B라인,야간,3.7,4728.7,19.67,11.275,69.88,71.3,26.5,37.3,이하영,합격
CELL-00877,2026-04-06 20:21,B라인,주간,3.673,4787.6,23.23,10.536,71.25,73.1,25.8,49.1,정우석,불합격
CELL-00878,2026-04-06 20:57,A라인,야간,3.74,4896.2,25.04,10.688,69.89,60.4,20.4,56.4,한서린,합격
CELL-00879,2026-04-06 21:21,C라인,주간,3.657,4929.6,19.81,10.72,70.1,68.0,25.6,55.4,한서린,합격
CELL-00880,2026-04-06 21:35,C라인,주간,3.74,4863.1,25.59,11.223,70.96,70.0,26.0,39.4,정우석,합격
CELL-00881,2026-04-06 22:25,A라인,야간,3.616,4935.3,24.57,11.466,70.17,63.2,16.4,27.6,김수현,합격
CELL-00882,2026-04-06 23:06,A라인,야간,3.698,4909.2,18.96,11.018,71.59,77.2,23.3,66.1,김수현,합격
CELL-00883,2026-04-07 00:21,A라인,야간,3.679,4647.3,21.48,10.873,69.48,67.7,18.0,41.2,김수현,합격
CELL-00884,2026-04-07 03:23,B라인,야간,3.676,4843.3,27.27,10.951,70.05,64.3,22.0,51.3,박정민,합격
CELL-00885,2026-04-07 03:36,A라인,주간,3.7,4867.2,26.62,10.992,69.17,,26.7,47.4,박정민,합격
CELL-00886,2026-04-07 03:49,A라인,주간,3.673,4815.1,21.38,10.981,71.47,58.0,23.5,54.5,정우석,합격
CELL-00887,2026-04-07 04:28,A라인,야간,3.623,5012.6,22.32,10.9,70.94,72.6,22.6,44.3,박정민,합격
CELL-00888,2026-04-07 05:08,A라인,주간,3.65,4687.4,22.26,11.104,69.8,68.9,26.0,35.8,김수현,합격
CELL-00889,2026-04-07 05:52,B라인,야간,3.7,4903.1,18.2,11.141,71.42,81.7,20.9,33.1,김수현,합격
CELL-00890,2026-04-07 07:35,A라인,주간,3.691,4910.2,13.93,10.889,68.68,63.0,28.8,53.3,김수현,합격
CELL-00891,2026-04-07 08:14,A라인,주간,3.635,4975.9,16.84,11.052,70.03,74.4,20.5,34.4,정우석,합격
CELL-00892,2026-04-07 09:31,A라인,야간,3.655,4798.4,23.67,10.962,69.76,69.3,20.9,56.6,한서린,합격
CELL-00893,2026-04-07 09:53,B라인,야간,3.669,4849.4,27.44,11.0,69.84,70.8,21.2,,김수현,합격
CELL-00894,2026-04-07 10:11,A라인,야간,3.665,4881.4,24.06,10.847,70.19,70.3,23.2,53.9,박정민,합격
CELL-00895,2026-04-07 11:49,B라인,주간,3.681,5158.4,22.12,10.78,71.68,68.0,23.0,49.4,김수현,합격
CELL-00896,2026-04-07 13:36,C라인,야간,3.673,4636.9,24.31,10.807,69.19,76.3,25.2,32.4,이하영,합격
CELL-00897,2026-04-07 14:33,B라인,주간,3.638,4927.6,25.12,11.006,70.47,84.2,24.8,46.4,박정민,합격
CELL-00898,2026-04-07 14:54,A라인,야간,3.699,4686.6,23.93,11.065,71.51,71.5,20.2,38.4,김수현,합격
CELL-00899,2026-04-07 16:14,C라인,야간,3.685,5071.7,21.44,11.158,70.97,65.3,21.3,46.9,이하영,합격
CELL-00900,2026-04-07 17:25,A라인,주간,3.669,5110.5,21.42,10.86,71.07,78.0,29.0,58.2,한서린,합격
CELL-00901,2026-04-07 17:28,C라인,야간,3.668,4991.9,26.1,10.86,67.97,76.4,19.8,42.2,이하영,합격
CELL-00902,2026-04-07 18:29,B라인,주간,3.668,5161.0,25.03,10.992,69.98,72.3,24.1,31.0,정우석,합격
CELL-00903,2026-04-07 20:42,B라인,주간,3.724,4950.7,24.16,10.911,67.96,72.4,25.9,43.0,김수현,불합격
CELL-00904,2026-04-07 21:48,A라인,야간,3.67,4739.3,22.49,10.904,71.72,74.3,22.7,58.3,박정민,합격
CELL-00905,2026-04-07 21:55,B라인,주간,3.656,5001.3,19.34,11.317,71.61,73.5,21.1,40.4,이하영,합격
CELL-00906,2026-04-07 22:15,C라인,야간,3.673,4820.2,32.06,11.253,71.79,,22.4,50.9,이하영,불합격
CELL-00907,2026-04-08 01:32,B라인,야간,3.735,4901.1,22.4,10.973,70.16,71.4,25.5,32.2,김수현,합격
CELL-00908,2026-04-08 05:20,B라인,주간,3.695,4551.5,25.7,10.586,70.23,66.5,25.6,40.0,한서린,합격
CELL-00909,2026-04-08 07:02,C라인,주간,3.683,4736.7,27.72,10.816,70.25,74.7,23.1,33.9,박정민,불합격
CELL-00910,2026-04-08 07:52,A라인,야간,3.684,4921.7,20.45,10.955,70.94,76.4,26.7,67.1,이하영,합격
CELL-00911,2026-04-08 08:38,A라인,주간,3.686,4749.5,22.05,10.967,69.6,78.4,25.7,48.4,한서린,합격
CELL-00912,2026-04-08 10:39,B라인,주간,3.713,4756.5,23.88,11.038,70.72,,23.0,42.1,이하영,합격
CELL-00913,2026-04-08 11:14,A라인,주간,3.691,4753.7,21.34,11.367,69.98,55.3,24.7,40.8,김수현,합격
CELL-00914,2026-04-08 11:14,B라인,야간,3.659,4782.7,19.77,10.611,69.77,66.2,23.5,40.4,한서린,합격
CELL-00915,2026-04-08 11:50,B라인,주간,3.745,4746.0,20.11,10.936,70.71,72.1,25.9,42.8,김수현,합격
CELL-00916,2026-04-08 13:06,C라인,주간,3.712,5069.7,20.24,11.01,67.5,73.2,25.9,33.9,정우석,합격
CELL-00917,2026-04-08 15:24,B라인,주간,3.698,4809.0,23.36,11.052,71.24,56.2,24.7,35.6,이하영,합격
CELL-00918,2026-04-08 17:06,A라인,야간,3.648,4798.5,17.06,10.651,71.91,68.6,21.5,52.5,이하영,합격
CELL-00919,2026-04-08 20:07,C라인,주간,3.632,4875.7,25.08,10.846,71.46,76.0,26.1,36.6,한서린,합격
CELL-00920,2026-04-08 20:49,A라인,주간,3.731,5027.4,26.68,11.021,68.89,77.6,20.4,,정우석,합격
CELL-00921,2026-04-08 20:54,B라인,주간,3.65,5073.9,18.81,11.043,70.18,65.0,24.3,52.6,정우석,합격
CELL-00922,2026-04-08 22:11,C라인,주간,3.691,4821.1,26.6,10.959,70.26,69.8,25.2,52.1,한서린,합격
CELL-00923,2026-04-08 22:14,C라인,주간,3.676,4992.2,20.89,11.075,70.75,66.4,26.5,35.2,김수현,합격
CELL-00924,2026-04-08 22:21,A라인,야간,3.665,5132.7,22.78,11.265,69.34,73.2,23.9,43.2,한서린,합격
CELL-00925,2026-04-08 22:32,B라인,주간,3.664,4807.6,24.38,11.059,68.81,66.5,25.8,45.7,김수현,합격
CELL-00926,2026-04-08 23:11,C라인,주간,3.723,4978.0,23.39,11.002,69.61,76.3,24.2,50.6,이하영,합격
CELL-00927,2026-04-08 23:19,A라인,야간,3.729,4740.0,15.93,11.206,69.85,79.4,19.4,43.4,이하영,합격
CELL-00928,2026-04-09 00:48,A라인,야간,3.685,4910.5,23.41,10.928,71.74,69.0,24.1,59.5,한서린,합격
CELL-00929,2026-04-09 00:50,A라인,주간,3.645,4794.5,25.91,11.02,69.87,74.9,28.4,47.1,김수현,합격
CELL-00930,2026-04-09 00:55,C라인,주간,3.674,4831.1,20.2,11.015,71.62,75.1,27.5,42.3,한서린,합격
CELL-00931,2026-04-09 01:39,B라인,주간,3.689,5091.9,23.47,10.829,69.17,76.4,24.9,46.6,한서린,합격
CELL-00932,2026-04-09 06:49,A라인,주간,3.704,4867.5,17.64,11.293,70.24,81.9,22.0,38.0,정우석,합격
CELL-00933,2026-04-09 07:00,A라인,주간,3.701,4657.7,21.85,11.278,70.28,72.0,27.4,38.5,정우석,합격
CELL-00934,2026-04-09 08:50,B라인,주간,3.689,4933.0,23.68,10.721,71.14,80.1,22.8,40.5,이하영,합격
CELL-00935,2026-04-09 08:56,B라인,주간,3.713,4975.8,22.51,11.63,68.66,70.1,25.9,44.5,한서린,합격
CELL-00936,2026-04-09 09:27,B라인,주간,3.732,4929.8,25.49,10.467,70.29,68.5,26.3,46.5,박정민,합격
CELL-00937,2026-04-09 10:49,B라인,야간,3.695,4984.5,26.66,10.738,70.24,71.2,22.6,48.4,한서린,합격
CELL-00938,2026-04-09 12:06,C라인,야간,3.676,4950.2,24.89,11.046,70.25,69.2,22.6,54.9,이하영,합격
CELL-00939,2026-04-09 12:27,C라인,주간,3.709,4891.1,17.46,10.838,70.07,71.8,22.7,42.1,김수현,합격
CELL-00940,2026-04-09 13:39,B라인,주간,3.681,4999.2,28.32,11.064,70.54,60.5,25.8,40.8,한서린,합격
CELL-00941,2026-04-09 13:46,A라인,야간,3.68,4817.3,22.72,11.029,71.3,70.4,23.6,30.1,김수현,합격
CELL-00942,2026-04-09 14:47,A라인,주간,3.743,4953.5,18.28,10.939,70.19,56.8,23.5,41.7,한서린,합격
CELL-00943,2026-04-09 15:08,C라인,주간,3.711,5025.8,22.08,11.209,69.01,80.2,23.4,45.6,박정민,합격
CELL-00944,2026-04-09 15:10,B라인,주간,3.659,4893.0,20.71,10.785,69.4,62.1,23.8,49.8,한서린,합격
CELL-00945,2026-04-09 15:49,B라인,주간,3.706,4894.7,19.98,10.873,69.27,73.8,25.9,33.9,한서린,합격
CELL-00946,2026-04-09 16:59,A라인,야간,3.778,4723.8,15.91,10.958,70.82,73.5,21.3,41.1,정우석,합격
CELL-00947,2026-04-09 17:04,B라인,주간,3.649,4794.8,16.08,10.833,70.47,80.4,21.9,53.8,정우석,합격
CELL-00948,2026-04-09 17:24,B라인,주간,3.676,4946.3,24.75,10.946,69.93,72.3,23.2,47.7,김수현,합격
CELL-00949,2026-04-09 18:46,B라인,주간,3.739,4740.8,18.19,11.032,70.52,59.0,25.6,32.7,한서린,합격
CELL-00950,2026-04-09 19:48,A라인,야간,3.69,4939.5,14.31,11.086,69.66,76.0,25.1,,이하영,합격
CELL-00951,2026-04-09 21:08,C라인,주간,3.654,4773.7,21.64,11.369,68.62,56.0,24.1,32.0,김수현,합격
CELL-00952,2026-04-09 22:00,B라인,야간,3.642,4776.1,23.16,11.314,67.42,64.6,24.7,45.6,박정민,합격
CELL-00953,2026-04-09 22:40,B라인,야간,3.645,5010.4,24.6,10.661,70.0,79.2,23.7,46.1,김수현,합격
CELL-00954,2026-04-09 23:05,A라인,주간,3.664,4926.6,16.63,11.064,69.16,74.9,23.1,42.2,박정민,합격
CELL-00955,2026-04-10 03:29,A라인,야간,3.716,4858.2,25.95,11.195,69.28,61.5,22.3,39.1,한서린,합격
CELL-00956,2026-04-10 05:13,C라인,주간,3.703,4999.8,18.68,11.256,69.33,76.8,27.5,45.2,한서린,합격
CELL-00957,2026-04-10 05:48,A라인,주간,3.689,4968.0,23.74,10.625,71.11,66.8,22.1,55.6,한서린,합격
CELL-00958,2026-04-10 06:14,B라인,주간,3.661,4796.6,21.38,10.989,70.1,72.0,26.1,49.0,김수현,합격
CELL-00959,2026-04-10 08:00,A라인,주간,3.673,4987.1,25.74,11.18,71.59,65.7,23.6,36.1,정우석,합격
CELL-00960,2026-04-10 08:20,A라인,주간,3.704,4990.5,23.16,11.125,70.36,84.3,20.8,50.5,정우석,합격
CELL-00961,2026-04-10 08:28,A라인,주간,3.647,4875.8,20.47,11.052,71.41,78.6,28.0,55.8,이하영,합격
CELL-00962,2026-04-10 09:05,A라인,주간,3.684,5035.8,22.46,11.148,70.13,59.7,29.1,44.8,김수현,합격
CELL-00963,2026-04-10 10:20,C라인,주간,3.637,4766.1,22.82,11.249,69.9,,28.6,28.4,김수현,합격
CELL-00964,2026-04-10 10:35,A라인,주간,3.647,4857.6,23.74,11.032,70.59,82.5,25.7,51.4,정우석,합격
CELL-00965,2026-04-10 12:18,B라인,야간,3.679,4868.1,17.55,10.543,70.64,80.7,24.8,45.9,한서린,합격
CELL-00966,2026-04-10 15:25,B라인,주간,3.654,4978.7,22.87,11.376,70.41,67.6,23.9,48.0,이하영,합격
CELL-00967,2026-04-10 17:06,C라인,야간,3.746,5213.2,25.63,10.789,71.04,63.7,26.2,49.8,한서린,합격
CELL-00968,2026-04-10 17:29,A라인,야간,3.652,5119.9,25.55,11.033,70.42,71.3,24.0,38.1,김수현,합격
CELL-00969,2026-04-10 17:45,B라인,주간,3.683,4728.4,18.83,10.935,69.92,75.5,23.1,28.0,이하영,합격
CELL-00970,2026-04-10 18:58,C라인,야간,3.669,4944.6,17.79,11.236,72.27,71.4,25.8,34.2,한서린,합격
CELL-00971,2026-04-10 19:30,B라인,야간,3.718,4943.0,13.51,11.166,72.22,70.0,17.0,,박정민,합격
CELL-00972,2026-04-10 19:40,B라인,주간,3.665,4968.1,24.98,11.071,71.36,77.6,23.9,45.4,이하영,합격
CELL-00973,2026-04-10 20:03,A라인,주간,3.585,4928.1,17.69,11.206,71.7,67.6,24.2,57.4,한서린,합격
CELL-00974,2026-04-10 23:49,C라인,주간,3.677,4772.3,19.9,10.877,69.89,74.7,26.9,39.4,한서린,합격
CELL-00975,2026-04-11 00:35,A라인,주간,3.647,4997.2,25.17,11.066,69.51,76.8,22.3,48.1,이하영,합격
CELL-00976,2026-04-11 04:55,B라인,야간,3.742,4756.8,16.39,10.865,70.98,64.9,22.2,50.9,한서린,합격
CELL-00977,2026-04-11 05:43,C라인,주간,3.648,4865.3,24.19,10.814,69.35,71.5,22.9,27.2,김수현,합격
CELL-00978,2026-04-11 06:48,B라인,주간,3.69,4801.9,17.5,10.891,72.3,73.0,28.8,58.8,김수현,합격
CELL-00979,2026-04-11 07:54,A라인,주간,3.635,4897.6,15.72,11.021,71.26,85.2,24.4,54.7,정우석,합격
CELL-00980,2026-04-11 09:34,A라인,야간,3.662,4907.6,18.8,11.144,69.91,59.4,22.7,52.6,한서린,합격
CELL-00981,2026-04-11 09:52,B라인,주간,3.707,4987.4,24.35,11.409,69.17,60.5,20.6,40.7,정우석,합격
CELL-00982,2026-04-11 12:35,C라인,야간,3.678,4750.1,22.73,11.075,68.25,59.6,21.7,39.8,이하영,합격
CELL-00983,2026-04-11 13:43,B라인,야간,3.661,4599.4,29.54,11.184,70.45,82.1,21.6,58.5,한서린,불합격
CELL-00984,2026-04-11 15:31,C라인,주간,3.587,4754.9,25.45,11.015,70.53,71.8,22.6,46.9,김수현,합격
CELL-00985,2026-04-11 16:39,C라인,주간,3.698,4747.6,24.82,11.089,71.25,71.1,26.1,,이하영,합격
CELL-00986,2026-04-11 18:31,A라인,주간,3.653,4770.7,25.15,11.057,70.99,71.2,24.5,35.4,김수현,합격
CELL-00987,2026-04-11 19:09,B라인,야간,3.689,4886.7,26.14,10.926,68.68,75.2,23.9,47.2,한서린,합격
CELL-00988,2026-04-11 20:29,A라인,주간,3.634,4930.1,20.66,11.065,71.34,73.4,25.0,41.9,정우석,합격
CELL-00989,2026-04-11 20:33,A라인,주간,3.655,4964.1,17.79,10.859,70.3,82.3,21.8,49.2,김수현,합격
CELL-00990,2026-04-11 20:54,C라인,주간,3.718,4883.2,21.3,11.127,70.42,76.1,20.7,45.3,이하영,합격
CELL-00991,2026-04-11 22:36,B라인,주간,3.703,4766.9,27.57,11.113,71.09,71.7,24.7,51.0,한서린,불합격
CELL-00992,2026-04-11 22:49,B라인,주간,3.604,4764.1,22.06,10.897,71.43,80.0,27.9,42.2,이하영,합격
